source_code,concept_name
408,centimeter
ng/mL DD units,nanogram per milliliter
1486,mole per milliliter
283,microgram per liter
X 10*3 /UL,thousand per microliter
gram/dL,gram per deciliter
?C,degree Celsius
360,picogram per cell
MIL/mm3,million per cubic millimeter
1581,billion per liter
mcIU/mL,micro-international unit per milliliter
13262,billion per liter
14956,billion per liter
mg.dL,milligram per deciliter
NM BCE/MM C,nanomole of bone collagen equivalent per millimole of creatinine
INTUNIT/ML,international unit per milliliter
MLG/DL,milligram per deciliter
G/DLL,gram per deciliter
Fl,femtoliter
MOLAR,millimole per liter
MIL/MCL,million per microliter
15008,billion per liter
ML/MINS/1.73,milliliter per minute per 1.73 square meter
MEQL/L,milliequivalent per liter
mi/mm3,million per cubic millimeter
G/GCREA,gram per gram of creatinine
weeks,week
896,IgM phospholipid unit per milliliter
THO/CMM,thousand per cubic millimeter
International Unit,international unit
15048,billion per liter
%_TOTAL_HGB,percent hemoglobin
GM/DL,gram per deciliter
% OF NORMAL,percent of normal
mg/total volume,milligram per total volume
{WBCS/UL},cells per microliter
76,billion per liter
2498,billion per liter
APL U,IgA phospholipid unit
332,millimole
13991,billion per liter
852,international unit per liter
{POUNDS},pound (US)
/uL,per microliter
2622,micro-international unit
mL/s,milliliter per second
ml,milliliter
ng/mL (DDU),nanogram per milliliter
19095,billion per liter
bil/L,billion per liter
mlu/mL,milliunit per milliliter
mInter. Units/mL,milli-international unit per milliliter
nM BCE/mM Cr,nanomole of bone collagen equivalent per millimole of creatinine
14950,billion per liter
14659,billion per liter
S,second
/100 WBC,per 100 white blood cells
ng/mg creat,nanogram per milligram of creatinine
216,millimeter mercury column
15003,billion per liter
17841,million per cubic millimeter
14836,billion per liter
mill/cumm,million per cubic millimeter
{MILLION/MCL},million per microliter
MG/DL(CAL),milligram per deciliter
6489,billion per liter
mL/min/1.73 m^2,milliliter per minute per 1.73 square meter
fasting uU/mL,unit per milliliter
141,per week
mls,milliliter
n,picogram per milliliter
LB_AV],pound (US)
879,millimole per mole
NG/mL,nanogram per milliliter
G/G CREAT,gram per gram of creatinine
m/cmm,million per cubic millimeter
ug,microgram
μｇ/dl,microgram per deciliter
{ML/MIN/1.73_M2},milliliter per minute per 1.73 square meter
ML/M (1.73 METERS SQUARED),milliliter per minute per 1.73 square meter
% act,percent activity
4279,microgram per minute
1603,milliliter per minute per 1.73 square meter
15073,billion per liter
10^6/UL,million per microliter
% SATURATION,percent saturation
9836,billion per liter
in,inch (US)
16129,international unit
nmol/mmol,nanomole per millimole
MG/DLQ,milligram per deciliter
#/MM 3,per cubic millimeter
GPSIGG,anti-phosphatidylserine IgG concentration (GPS) unit
mcg/mg Crea,microgram per milligram of creatinine
15030,billion per liter
x10e9/L,billion per liter
nmole,nanomole
nM BCE,nanomole of bone collagen equivalent per millimole of creatinine
micromoles/g creat,micromole per gram of creatinine
MM HG,millimeter mercury column
PER/HPF,per high power field
15025,billion per liter
x10E3 uL,thousand per microliter
4722,billion per liter
MMOL/KG,millimole per kilogram
count,Generic unit for indivisible thing
THOUSAND PER MICROLI,thousand per microliter
breaths/min,counts per minute
383,milliliter per 24 hours
RU,unit
count/HPF,per high power field
7827,international unit
beats/min,counts per minute
14885,billion per liter
15245,gram per 24 hours
940,inch (US)
<120MG/DL,milligram per deciliter
{/100WBC},per 100 white blood cells
U/GHGB,unit per gram of hemoglobin
10X6UL,million per microliter
666,microgram per liter
IU,international unit
254,pH
/MIL/1.73M*2,milliliter per minute per 1.73 square meter
NG/DL,nanogram per deciliter
20155,billion per liter
iU/mL,international unit per milliliter
9732,percent inhibition
MPS IGM,anti-phosphatidylserine IgM concentration (MPS) unit
ng/mL FEU,nanogram of fibrinogen equivalent unit per milliliter
mL/min,milliliter per minute
6694,billion per liter
MCG EQ/ML,microgram equivalent per milliliter
lmin,liter per minute
IUnits/mL,international unit per milliliter
ML/MIN/1.73M2`,milliliter per minute per 1.73 square meter
CELLS/MCL X1000,thousand per microliter
M/uL,million per microliter
UNIT/DL,unit per deciliter
17977,nanometer
BREATHS/MIN,counts per minute
ug/D,microgram per 24 hours
673,per cubic millimeter
10281,million per milliliter
MCIU/ ML,micro-international unit per milliliter
MG/DL,milligram per deciliter
mg/g creatinine,milligram per gram of creatinine
mmol/24H,millimole per 24 hours
umol/g{creat},micromole per gram of creatinine
{X10^6/UL},million per microliter
15086,billion per liter
mg/G,milligram per gram
ML/MIN//1.73M3,milliliter per minute per 1.73 square meter
X103,thousand
LM/MIN/1.73M1,milliliter per minute per 1.73 square meter
191,micromole per liter
RATIO_UNITS,ratio unit
159,kilounit per liter
DEG,degree
8024,centimeter watercolumn
217,millimole per 24 hours
mg/mg Cr,milligram per milligram of creatinine
1219,trillion per liter
NMOL/L RBC,nanomole per liter
ML/MIN/1.72 M^2,milliliter per minute per 1.73 square meter
{#CELLS},cells
CELL/MM3,per cubic millimeter
x10e6/uL,million per microliter
MIU/I,micro-international unit per liter
KG/M2,kilogram per square meter
ML/MIN/1.73MW,milliliter per minute per 1.73 square meter
UG/G CRE,microgram per gram of creatinine
NG/ML,nanogram per milliliter
MG/D,milligram per 24 hours
%OFTOTAL,percent total
IUnit/ml,international unit per milliliter
OF NORM,of normal
15110,billion per liter
GPS IGG,anti-phosphatidylserine IgG concentration (GPS) unit
[IU]/L,international unit per liter
14967,billion per liter
uU/ML,microunit per milliliter
18386,thousand per microliter
{cells}/uL,cells per microliter
X10_(6)_/UL,million per microliter
NM BCE/MM CRT,nanomole of bone collagen equivalent per millimole of creatinine
CALCULATED,calculated
K/?L,thousand per liter
KG/M-?,kilogram per square meter
pmol/8x 10E8,picomole per eight times 10 to the 8th red blood cells
MM. HG.,millimeter mercury column
/ 100 WBC,per 100 white blood cells
VOLUMES %,volume percent
MCM3,femtoliter
1363,IgM phospholipid unit per milliliter
JDF Units,Juvenile Diabetes Foundation unit
mcg/mL FEU,microgram of fibrinogen equivalent unit per milliliter
RBCS/UL,red blood cells per microliter
seconds,second
3424,foot (US)
{GRAM/DL},gram per deciliter
million cells/mcL,million per microliter
G/DL (),gram per deciliter
14933,billion per liter
/ hpf,per high power field
{index_val}index valueUCUM,index of reactivity
ULU/ML,micro-international unit per milliliter
{INT_UNIT/ML},international unit per milliliter
LPM,liter per minute
mmol/D,millimole per 24 hours
ML/MIN/1.73M,milliliter per minute per 1.73 square meter
Bill/L,billion per liter
{#_Cells}/uL,cells per microliter
5037,liter per 24 hours
14934,billion per liter
15100,billion per liter
MCMOL/ML,micromole per milliliter
10X3/uL,thousand per microliter
x 10^9/L,billion per liter
mg/dL ,milligram per deciliter
14579,billion per liter
"X1,000,000",million
UU/L,microunit per liter
14962,billion per liter
{HR},hour
ML/MIN/1.73 SQM,milliliter per minute per 1.73 square meter
2588,billion per liter
288,unit
14829,billion per liter
1MMOL/L,millimole per liter
X10*3/MICROL,thousand per microliter
X10/3 UL,thousand per microliter
1804,gram per 24 hours
{K/CUMM},thousand per cubic millimeter
10\S\6/UL,million per microliter
MG/GM CERA,milligram per gram of creatinine
% {Oxygen},percent oxygen
microintl units/mL,micro-international unit per milliliter
MONTHS,month
cP,centipoise
ug/mg{creat},microgram per milligram of creatinine
% POSITI,percent positive
15041,billion per liter
ng/mL DDIM,nanogram per milliliter
{X10E+09/L},billion per liter
mcg/24H,microgram per 24 hours
U/G{HB},unit per gram of hemoglobin
cumm,cubic millimeter
3741,billion per liter
298,week
k/microL,thousand per microliter
MPS IgM,anti-phosphatidylserine IgM concentration (MPS) unit
/100 HPF,per high power field
u/l,unit per liter
157,kilogram per square meter
10 3,thousand
f,degree Fahrenheit
ML/DAY,milliliter per 24 hours
[beth'U],Bethesda unit
{NG/MLDDU},nanogram per milliliter
{NG/ML/HR},nanogram per milliliter and hour
 MG/L,milligram per liter
%TOTALHGB,percent total
ML/MIN/1.73MLSQ,milliliter per minute per 1.73 square meter
3763,billion per liter
/mL,per milliliter
MG/G{CREAT},milligram per gram of creatinine
cms,centimeter
IntUnit/L,international unit per liter
units/ml,unit per milliliter
MEQ/DL,milliequivalent per deciliter
14867,billion per liter
MMHG  S*,millimeter mercury column
77,billion per liter
kPa,kilopascal
% inhibit,percent inhibition
mL/24HR,milliliter per 24 hours
g/d,gram per deciliter
1201,billion per liter
degree Fahrenheit,degree Fahrenheit
APS IGA,anti-phosphatidylserine IgA concentration (APS) unit
X(10)6/uL,million per microliter
RELATI,percent
(EHRLICHU)/DL,Ehrlich unit per deciliter
{M.o.M},multiple of the median
GRAMS_PER_DECILITE,gram per deciliter
U/G CREAT,unit per gram of creatinine
million,million
U/DL^U/DL^UCUM,unit per deciliter
MIL/MM3,million per cubic millimeter
mm[Hg]millimeter of mercuryUCUM,millimeter mercury column
10307,unit per milliliter
MCUI/ML,micro-international unit per milliliter
"ML/MIN/1,73SQM2",milliliter per minute per 1.73 square meter
MG/,milligram
{MILLI/CUMM},million per cubic millimeter
?UI/ml,unit per milliliter
[g[,gram
M/cumm,million per cubic millimeter
MG/24 HOURS,milligram per 24 hours
x10 9/L,billion per liter
mL/min/1.,milliliter per minute per 1.73 square meter
bpm,counts per minute
X10(9/L,billion per liter
100 WBC,per 100 white blood cells
  motile,percent sperm motility
LogIU/mL,log international unit per milliliter
admittingsystolicbp,millimeter mercury column
14984,billion per liter
{INTLUNIT/ML},international unit per milliliter
PGML,picogram per milliliter
mg/mg{creat},milligram per milligram of creatinine
1277,thousand per liter
mg/kg,milligram per kilogram
L/(24.h),liter per 24 hours
G./DL,gram per deciliter
mmol/24hrs,millimole per 24 hours
WBC/MM3,cells per cubic millimeter
{X10(12)/L},trillion per liter
MG\DL,milligram per deciliter
10303,picomole per eight times 10 to the 8th red blood cells
ML/MIN/1.73.M2,milliliter per minute per 1.73 square meter
NL/MIN/1.73M2,milliliter per minute per 1.73 square meter
GRAM PER DECILITER,gram per deciliter
INR,ratio
14884,billion per liter
mEq/24HR,milliequivalent per 24 hours
/hpf,per high power field
nM,nanometer
UG/ML-FEU,microgram of fibrinogen equivalent unit per milliliter
10*6/mm3,million per cubic millimeter
15013,billion per liter
13972,billion per liter
{MCG/G},microgram per gram
mcgE1/g,microgram per gram
mU/g Hb,milliunit per gram of hemoglobin
U MOL/L,micromole per liter
MMOL/L1,millimole per liter
% OF TOTAL HBG,percent hemoglobin
15084,billion per liter
MCG/MG CREAT.,microgram per milligram of creatinine
IU/L,international unit per liter
ML./MIN,milliliter per minute
uG/24H,microgram per 24 hours
/mm3,per cubic millimeter
GM/24 HRS,gram per 24 hours
NG/ML RBC,nanogram per milliliter of red blood cells
/microL,per microliter
{ML/MIN/1.73SQ_M},milliliter per minute per 1.73 square meter
UMO/L,micromole per liter
4438,milliliter per minute per 1.73 square meter
2285,milligram per minute
cm2,square centimeter
CaE units,unit
EHRLICH,Ehrlich unit
Int Units/Liter,international unit per liter
UIU/ML.,micro-international unit per milliliter
Liter,liter
RELATIVE %,percent
mil sp/ml,million per milliliter
G/24 HOUR,gram per 24 hours
MMOL/;L,millimole per liter
ML/MIN/1.73N2,milliliter per minute per 1.73 square meter
UG/24 HR,microgram per 24 hours
{IN},inch (US)
mg/d,milligram per 24 hours
G/{24H},gram per 24 hours
x10(3)/mcl,thousand per microliter
MG/DL S*,milligram per deciliter
mL/m/1.73m,milliliter per minute per 1.73 square meter
 umol/L,micromole per liter
{Z-score},score
NMOL BCE/L,nanomole of bone collagen equivalent per liter
{MPS},anti-phosphatidylserine IgM concentration (MPS) unit
MG/ 24 HRS,milligram per 24 hours
{SAU},beta-2 GPI IgA Ab unit
log counts/mL,log copies per milliliter
163,liter per minute
 ug/L,microgram per liter
{YEARS},year
g/dL,gram per deciliter
(10X6/UL),million per microliter
GM/L,gram per liter
5817,unit per milliliter
NMOL/MMOL{CREAT},nanomole per millimole of creatinine
mg/d,milligram per deciliter
beats per min,counts per minute
ELISA UNITES,Elisa unit
MG/GMCREA,milligram per gram of creatinine
911,milliliter per minute per 1.73 square meter
nM/ml/min,nanomole per minute and milliliter
10645,billion per liter
milliliter,milliliter
% {Oxygen}percent oxygenUCUM,percent oxygen
MILLION_PER_MICROL,million per microliter
GRAMS/24 HOURS,gram per 24 hours
{Ratio},ratio
year,year
15115,billion per liter
mcmol/L,micromole per liter
G/DI,gram per deciliter
{%(CALC)},percent calculated
 IU/mL,international unit per milliliter
3870,volt
Neg,negative count
K/ML,thousand per milliliter
277,unit per milliliter
13994,billion per liter
X10^3U/L,thousand per liter
mil/mm3,million per cubic millimeter
LOG COPIES/ML,log copies per milliliter
%{ACTIVITY},percent activity
{MG/DL_MILLIGRAM_P,milligram per deciliter
g/dL (calc,gram per deciliter calculated
124,centipoise
K/L,thousand per liter
%/100{WBC},per 100 white blood cells
UL/L,micrometer per liter
mcg/mgcr,microgram per milligram of creatinine
GM/24H,gram per 24 hours
cm H2O,centimeter watercolumn
9667,percent hemoglobin
GU,beta-2 GPI IgG Ab unit
MLS/MIN/1.73 M2,milliliter per minute per 1.73 square meter
U\L,international unit per liter
431,billion per liter
MILLION/mL,million per milliliter
% MUTATION,percent
mg Alb/g Creat,milligram per gram of creatinine
IU/G,international unit per gram
 NG/ML,nanogram per milliliter
[pH],pH
{UNIT/ML},unit per milliliter
mg/g Crt,milligram per gram of creatinine
#/CMM,per cubic millimeter
MI/MIN/1.73MSQ,milliliter per minute per 1.73 square meter
194,microgram per gram
8576,nanogram per milliliter
1145,millimole per liter
{6_/UL},cells per microliter
K/mm,thousand per milliliter
JDF UNITS,Juvenile Diabetes Foundation unit
ug/L,microgram per liter
ery/ul,erythrocytes per microliter
160,liter
NMOL/24 H,nanomole per 24 hours
{U/L_UNITS_PER_LIT,unit per liter
6275,gram per 24 hours
MMOL/24HR.,millimole per 24 hours
MG ALB/G C,milligram per gram of creatinine
{10E3/UL},thousand per microliter
X10-3/uL,thousand per microliter
WEEKS,week
kU/Lkilo enzyme unit per literUCUM,kilounit per liter
x10^6/uL,million per microliter
G/L,gram per liter
GM/24 HR,gram per 24 hours
mg/day,milligram per 24 hours
LOG(IU/ML),log international unit per milliliter
mEq/24 HR,milliequivalent per 24 hours
15002,billion per liter
index value,ratio
{^MG/DL},milligram per deciliter
MILLILITERS_PER_MI,milliliter per minute
X(10)6/MCL,million per microliter
ML/MIN/1.73ME2,milliliter per minute per 1.73 square meter
1011,millimeter per hour
6214,billion per liter
{EHRLICHU}/DL,Ehrlich unit per deciliter
X10/3,thousand
k/uL,thousand per microliter
4058,degree Fahrenheit
MG/Dl,milligram per deciliter
[ppm],parts per million
15022,billion per liter
14855,billion per liter
X10(6)/MM3,million per cubic millimeter
PCT,percent
nmol/mL/min,nanomole per minute and milliliter
x10E6/uL,million per microliter
U/L_37,unit per liter
mg/(24.h),milligram per 24 hours
2375,nanomole
mcg/m2,microgram per square meter
{G/DL(%)},gram per deciliter
Nmol/L,nanomole per liter
{GM/24HR},gram per 24 hours
{SECOND},second
MGUN/MGCR,milligram per milligram of creatinine
% of inhibition,percent inhibition
MG/DL CACL,milligram per deciliter calculated
X10EXP12/L,trillion per liter
mls/mi/1.73 m2,milliliter per minute per 1.73 square meter
MILLIMOLE PER LITER,millimole per liter
mcg/mg,microgram per milligram
ml/min/1.73m^2,milliliter per minute per 1.73 square meter
MG/G,milligram per gram
334,per liter
15093,billion per liter
X10E3/MCL,thousand per microliter
MMOL/24 HRS,millimole per 24 hours
118,per 24 hours
O.D,O.D. ratio
15103,billion per liter
VOL%,volume percent
ng/mL RBC,nanogram per milliliter of red blood cells
{INCHES},inch (US)
% TOTAL,percent total
mL/min/1.73_m2,milliliter per minute per 1.73 square meter
MG/G CREAT,milligram per gram of creatinine
UNIT,unit
{E.U/DL},Ehrlich unit per deciliter
14842,billion per liter
15023,billion per liter
ng/mLDDU,nanogram per milliliter
15067,billion per liter
mL/min/1.7,milliliter per minute per 1.73 square meter
mill/mcl,million per microliter
day,day
MIU/mL,milli-international unit per milliliter
",MG/DL",milligram per deciliter
mL/min/,milliliter per minute
x10E3,thousand
2145,centimeter watercolumn
X10^6/UL,million per microliter
ML/MIN/1.73 MEX,milliliter per minute per 1.73 square meter
IUL,international unit per liter
kDa,kilodalton
478,per 24 hours
{X_10_3},thousand
4,million per liter
21083,millisecond
MMPL/L,millimole per liter
CmH20,centimeter watercolumn
ML/MIN/1.73M(2),milliliter per minute per 1.73 square meter
COPIES/mL,copies per milliliter
Log cps/mL,log copies per milliliter
l,liter
% PCV,percent
10*3/MICROLITER,thousand per microliter
% WBC,percent of white blood cells
g/24 hr,gram per 24 hours
2206,per cubic millimeter
Log copies/mL,log copies per milliliter
14577,billion per liter
14844,billion per liter
10?3CMM,thousand per cubic millimeter
Units,unit
1045,billion per liter
X10/6 UL,million per microliter
1868,nanomole per minute and milliliter
x(10)6/UL,million per microliter
HR^HR^UCUM,hour
/100wb,per 100 white blood cells
Index Value,ratio
kU/L,kilounit per liter
394,millimole per kilogram
{NG/ML},nanogram per milliliter
X10^6,million
15069,billion per liter
ml/dL,milliliter per deciliter
10E6/MM3,million per cubic millimeter
MS,millisecond
MCMOL/MIN/G TISSUE,micromole per minute and gram
% ppt,percent
0mm,millimeter
379,per high power field
1021,milliliter per minute per 1.73 square meter
OD Ratio,O.D. ratio
X1000 CU,thousand per microliter
units,unit
ug/24H,microgram per 24 hours
2125,millimole per liter
mL/min/1.73m?,milliliter per minute per 1.73 square meter
#,cells
CAL,calorie
ssecondUCUM,second
mL/m/m2,milliliter per minute per 1.73 square meter
4728,billion per liter
20253,billion per liter
{UNITS/ML},unit per milliliter
mL/m2,milliliter per square meter
1354,billion per liter
%HbA1c,percent hemoglobin A1c
MCMOL/24 H,micromole per 24 hours
percent (%),percent
%Total,percent total
%{VOL},volume percent
<1 ng/mL,nanogram per milliliter
ML/MIN/M21.73,milliliter per minute per 1.73 square meter
MG/DL(CACL),milligram per deciliter calculated
MPL UNITS/ml,IgM phospholipid unit per milliliter
NG/MG,nanogram per milligram
MPL U/mL MPL U/mL LB,IgM phospholipid unit per milliliter
14084,Bethesda unit
327,trillion per liter
{%HB},percent hemoglobin
micro IU/ml,micro-international unit per milliliter
m[iU]/mL,milli-international unit per milliliter
%T.Hgb,percent total
15083,billion per liter
{UNITS_PER_LITER},unit per liter
ng/Ml,nanogram per milliliter
Mil/ul,million per microliter
INDEX_VAL,index of reactivity
microgram/dL,microgram per deciliter
/1.73M2,milliliter per minute per 1.73 square meter
mg Hb/g,milligram per gram
UG/MG{CREAT},microgram per milligram of creatinine
11mm,millimeter
MCIU/MLT,micro-international unit per milliliter
1287,per high power field
209,millimeter
"NG/,L",nanogram per liter
11214,billion per liter
mL/min/1.73 sq met,milliliter per minute per 1.73 square meter
14839,billion per liter
15116,billion per liter
mOs/kg,milliosmole per kilogram
mg/kg/(24.h),milligram per kilogram
UIU/MLT,micro-international unit per milliliter
mIntlUnit/mL,milli-international unit per milliliter
204,milliliter per minute per 1.73 square meter
SQM,square meter
BIL.L,billion per liter
g/spec,gram per 24 hours
X 1000/UL,thousand per microliter
mg/24 Hrs,milligram per 24 hours
14908,billion per liter
pM,picomole per liter
{INR},ratio
1992,millimole per liter
EOS/CMM,cells per cubic millimeter
% Inhibition,percent inhibition
407,thousand per milliliter
14963,billion per liter
MICROGRAMS/MILLILI,microgram per milliliter
MG/24HR,milligram per 24 hours
PG/ML^PG/ML^UCUM,picogram per milliliter
3958,unit
UMOL/L^UMOL/L^UCUM,micromole per liter
mL/L,milliliter per liter
14904,billion per liter
G/PERIOD,gram per time
mg/mmol Creat,milligram per millimole of creatinine
x10-12/l,trillion per liter
CU/MM,per cubic millimeter
19254,cells per cubic millimeter
15037,billion per liter
u/IU/mL,micro-international unit per milliliter
ENZYME UNIT PER LITE,unit per liter
THOU/CU MM,thousand per cubic millimeter
ml/day,milliliter per 24 hours
Log Copies/mL,log copies per milliliter
INTL_UNITS/ML,international unit per milliliter
{ISR},immune status ratio
mcmol/l,micromole per liter
WBCS/UL,cells per microliter
15MG,milligram
ML/MIJN,milliliter per minute
3743,billion per liter
mol/mol,ratio
% MOTILE,percent sperm motility
X(10)6/UL,million per microliter
263,second
10294,nanogram per liter
3110,milli-international unit per liter
IU/DL,international unit per deciliter
nmol/s/L{RBCs},nanomole per second and liter
15031,billion per liter
MIIU/ML,milli-international unit per milliliter
UMOL/DL,micromole per deciliter
mg/(12.h),milligram per 12 hours
ML/MIN/1.73M?,milliliter per minute per 1.73 square meter
ML/MIN 7.3 M2,milliliter per minute per 1.73 square meter
ML/MIN 1.73/M2,milliliter per minute per 1.73 square meter
fim_admittingweight3,kilogram
MCG/MG CRE,microgram per milligram of creatinine
% TOTAL HGB,percent hemoglobin
U/mL RBC,unit per milliliter
14931,billion per liter
855,microgram per 24 hours
umol/min/g{protein},micromole per minute and gram
x10-3/uL,thousand per microliter
PQ/ML,picogram per milliliter
GPL-U/ml,IgG phospholipid unit per milliliter
PG^PG^UCUM,picogram
ng/ml FEU,nanogram of fibrinogen equivalent unit per milliliter
4167,millimeter per hour
meq/24hr,milliequivalent per 24 hours
pg/mg{creat},microgram per gram of creatinine
WBC/MCL,cells per microliter
miu/l,milli-international unit per liter
MM3,cubic millimeter
MG/DL (CAL,milligram per deciliter calculated
S SECOND,second
ML/MIN/1.73 M2^ML/,milliliter per minute per 1.73 square meter
ugFEU/mL,microgram of fibrinogen equivalent unit per milliliter
/UL,per microliter
X10(6)/MCL,million per microliter
mL/mn/1.73,milliliter per minute per 1.73 square meter
/week,per week
GPI IGM UNITS,beta-2 GPI IgM Ab unit
{RATIO},ratio
G/24.H,gram per 24 hours
X10E6/ML,million per milliliter
MOSMOL/KG,milliosmole per kilogram
NEGATIVE IU/ML,international unit per milliliter
U L,unit per liter
E9/L,billion per liter
Thous/ul,thousand per microliter
14860,billion per liter
1587,millimole per 24 hours
mmol/24,millimole per 24 hours
ug/mL{FEU},microgram of fibrinogen equivalent unit per milliliter
mL/min/1.73 sq,milliliter per minute per 1.73 square meter
U/G HB,unit per gram of hemoglobin
{X10^6/MCL},million per microliter
10275,per milliliter
892,millimole per mole
GPL UNITS/ml,IgG phospholipid unit per milliliter
mEq/24hr,milliequivalent per 24 hours
PPG/ML,picogram per milliliter
mil/ul,million per microliter
MG/L (FEU),milligram of fibrinogen equivalent unit per liter
pregnancyweek,week
umol/24hr,micromole per 24 hours
pMole/8x10(8) RBC,picomole per eight times 10 to the 8th red blood cells
1250,billion per liter
%,percent
{U/L_37},unit per liter
DDU_NG/ML,nanogram per milliliter
COPIES,copies per milliliter
14852,billion per liter
20802,billion per liter
X0E6/UL,million per microliter
308,year
L/Min,liter per minute
MG/24_HR,milligram per 24 hours
UMOL/G CRT,micromole per gram of creatinine
UG/MG CR,microgram per milligram of creatinine
ML/MIN/1.73MQ,milliliter per minute per 1.73 square meter
x 10^3/��L,thousand per microliter
MILLIONS/ML,million per milliliter
6681,billion per liter
{6/UL},million per microliter
mmol/day,millimole per 24 hours
mL/min/1.73msq,milliliter per minute per 1.73 square meter
{UG/ML},microgram per milliliter
mOSM/kg,milliosmole per kilogram
%VOL,volume percent
14840,billion per liter
ML/MIN/1.373M2,milliliter per minute per 1.73 square meter
301,week
e.u./dl,Ehrlich unit per deciliter
uM/min/gm protein,micromole per minute and gram
[in_i],inch (international)
x103/uL,thousand per microliter
X10 3/CUMM,thousand per cubic millimeter
meq/24 Hr,milliequivalent per 24 hours
14919,billion per liter
4726,billion per liter
%_HBA1C,percent hemoglobin A1c
ML/MIN/1.73M9,milliliter per minute per 1.73 square meter
ng/mg,nanogram per milligram
MG/ML,milligram per milliliter
1327,per liter
???IU???/L,international unit per liter
15066,billion per liter
365,milligram per millimole of creatinine
14922,billion per liter
ml/L,milliliter per liter
ML/LMIN,milliliter per minute
PGM/ML,picogram per milliliter
ML/MIN,milliliter per minute
6/MCL,million per microliter
15004,billion per liter
MILLIMETERS MERCUR,millimeter mercury column
% LYMPHOCYTES,percent of lymphocytes
NG./DL.,nanogram per deciliter
15 MG/DL,milligram per deciliter
E.U./dL,Ehrlich unit per deciliter
"ML/MIN/1,73MQ",milliliter per minute per 1.73 square meter
787,per 24 hours
/DL,per deciliter
UG.MG,microgram per milligram
{G_Units},beta-2 GPI IgG Ab unit
<20 ng/mL,nanogram per milliliter
mM/L,millimole per liter
100MG/DL,milligram per deciliter
{PICOGRAMS},picogram
1452,millimeter mercury column
ML/MIN PER 1.73,milliliter per minute per 1.73 square meter
Units/L,unit per liter
APL,IgA phospholipid unit
MIL/uL,million per microliter
mEq,milliequivalent
6133,milliliter per minute per 1.73 square meter
NMOL/ML/MIN,nanomole per minute and milliliter
1496,per 24 hours
MG/L,milligram per liter
NMOL/HR/MG,nanomole per hour and milligram
ML/MIN/1.73M????,milliliter per minute per 1.73 square meter
MG/G CR,milligram per gram of creatinine
19985,unit per hour
1222,IgM phospholipid unit
20514,kilogram
MCG/MGM,microgram per milligram
umol/g{Hb},micromole per gram of hemoglobin
5-65/HPF,per high power field
ML/UL,million per microliter
MMOM/L,millimole per liter
MMHG,millimeter mercury column
235,nanomole per liter
MG/PER,milligram per time
fraction of 1,per total count
{G/DL_GRAM_PER_DEC,gram per deciliter
MLMIN 1.73 M2,milliliter per minute per 1.73 square meter
{MG/DL(CALC)},milligram per deciliter calculated
15068,billion per liter
MCIUNIT/ML,micro-international unit per milliliter
ml/dl,milliliter per deciliter
x THOU,thousand
cm[H2O],centimeter watercolumn
30MG,milligram
%STD HBA1.,percent hemoglobin A1c
U/L^U/L,unit per liter
126,day
/ LPF,per low powered field
{UIU/ML},micro-international unit per milliliter
UL,microliter
LOG IU/MLL,log international unit per milliliter
794,millimole per 24 hours
{AI},avidity index
cells/mcL,cells per microliter
1372,IgG phospholipid unit per milliliter
mmol/g{creat},millimole per gram of creatinine
ng/mLnanogram per milliliterUCUM,nanogram per milliliter
14823,billion per liter
ml/24hr,milliliter per 24 hours
UG/24 HOURS,microgram per 24 hours
15104,billion per liter
APL,arbitrary unit
MG/KG^MG/KG^UCUM,milligram per kilogram
% baseline,percent baseline
{MCG/MG},microgram per milligram
{MLS},milliliter
MIU/ML,milli-international unit per milliliter
EU/ml,ELISA unit per milliliter
MCG/G CREA,microgram per gram of creatinine
DEGF],degree Fahrenheit
{MG/24HR},milligram per 24 hours
IUNIT/L,international unit per liter
6669,billion per liter
ML/MIN/1.7M32,milliliter per minute per 1.73 square meter
764,minute
ML/MIN1.73 SQ M,milliliter per minute per 1.73 square meter
303,billion per liter
deg.C,degree Celsius
15 mm,millimeter
g/12 hr,gram per 12 hours
EU,unit
mIUL/mL,milli-international unit per milliliter
100 MG/ DL,milligram per deciliter
% ACTIVITY,percent activity
11,per 100 white blood cells
NMOL/H/MG PROT,nanomole per hour and milligram
2742,billion per liter
6707,billion per liter
1563,per 100 white blood cells
cig/day,per 24 hours
{MMOL},millimole
4797,kilo-international unit per milliliter
umol/M,micromole per mole
MOIU/ML,milli-international unit per liter
{ML/MIN/1.73_SQ_M},milliliter per minute per 1.73 square meter
20762,micro-international unit per milliliter
?g/dL,gram per deciliter
14889,billion per liter
umol/24 h,micromole per 24 hours
10262,per microliter
{KU/L},kilounit per liter
% OF LYMP,percent of lymphocytes
mg/D,milligram per 24 hours
12201,billion per liter
BILL/L,billion per liter
ng/mL FEU,nanogram per milliliter
UG/24,microgram per 24 hours
Lbs,pound (US)
KUNITS/L,kilounit per liter
THOU/UL,thousand per microliter
cigarettes/day,per 24 hours
PMOLE/8X10E8 RBC,picomole per eight times 10 to the 8th red blood cells
CC,cubic centimeter
317,millimole per 24 hours
NANOGRAM/MILLILITE,nanogram per milliliter
15973,beta-2 GPI IgG Ab unit
10e3/mm3,thousand per cubic millimeter
kg %,kilogram
{ML/MIN/1.73_SQ_ME,milliliter per minute per 1.73 square meter
10e3cells/mcL,thousand per microliter
